Codice,Punti 1,Punti 2,Punti 3,Punti 4,Punti 5,Punti TOT,ateneo
456543332339844.0,0.7,0.3,9.2,3.7,8.2,22.1,Università degli Studi di PADOVA 
456543352339945.0,2.6,6.0,22.0,19.5,11.2,61.3,Università degli Studi di PADOVA 
456543441359955.0,6.0,7.5,23.5,2.5,0.2,39.7,Università degli Studi di PADOVA 
456543552249753.0,4.1,1.8,13.6,7.3,11.9,38.7,Università degli Studi di PADOVA 
456544331348945.0,6.0,7.5,31.1,20.6,1.5,66.7,Università degli Studi di PADOVA 
456544332149854.0,4.1,5.6,34.5,10.0,-0.5,53.7,Università degli Studi di PADOVA 
456544352139943.0,6.0,3.7,34.5,22.5,17.6,84.3,Università degli Studi di PADOVA 
456545343248745.0,2.2,5.6,14.2,0.7,0.9,23.6,Università degli Studi di PADOVA 
456553341249743.0,6.0,7.5,34.5,11.1,6.7,65.8,Università degli Studi di PADOVA 
456553431349945.0,4.1,7.5,27.7,5.2,16.1,60.6,Università degli Studi di PADOVA 
456554341338845.0,6.0,7.5,34.5,14.9,13.5,76.4,Università degli Studi di PADOVA 
456554531358943.0,6.0,7.5,34.5,18.7,17.6,84.3,Università degli Studi di PADOVA 
456555333349854.0,6.0,5.6,32.6,22.5,14.6,81.3,Università degli Studi di PADOVA 
456555431338853.0,2.2,4.1,13.3,5.9,0.3,25.8,Università degli Studi di PADOVA 
456633441149853.0,6.0,7.5,34.5,22.5,19.5,90.0,Università degli Studi di PADOVA 
456634331258744.0,4.1,5.6,23.5,13.4,12.7,59.3,Università degli Studi di PADOVA 
456634341159743.0,2.6,7.5,30.7,20.6,18.0,79.4,Università degli Studi di PADOVA 
456634352239754.0,4.1,5.6,32.6,20.6,12.7,75.6,Università degli Studi di PADOVA 
456634543149744.0,6.0,5.6,33.0,20.6,15.7,80.9,Università degli Studi di PADOVA 
456634553248853.0,2.2,5.6,6.4,3.5,6.6,24.3,Università degli Studi di PADOVA 
456635351339754.0,0.7,7.5,30.7,3.0,14.2,56.1,Università degli Studi di PADOVA 
456635352159945.0,6.0,7.5,11.4,15.7,3.3,43.9,Università degli Studi di PADOVA 
456635432138855.0,4.1,7.5,32.6,21.0,19.5,84.7,Università degli Studi di PADOVA 
456635433139753.0,2.2,5.6,28.8,19.1,6.6,62.3,Università degli Studi di PADOVA 
456635542238855.0,6.0,7.5,32.6,20.6,16.1,82.8,Università degli Studi di PADOVA 
456635542359945.0,6.0,5.6,28.8,15.3,12.3,68.0,Università degli Studi di PADOVA 
456643333249854.0,4.5,7.5,31.1,21.0,14.6,78.7,Università degli Studi di PADOVA 
456643432348743.0,6.0,7.5,34.5,12.7,3.7,64.4,Università degli Studi di PADOVA 
456643433139945.0,6.0,6.0,30.7,22.5,10.0,75.2,Università degli Studi di PADOVA 
456643443348753.0,4.1,7.5,18.2,12.3,6.3,48.4,Università degli Studi di PADOVA 
